,fsk_rssi,voltage,current,altitude,latitude,longitude,tas,gps_used,fix_type,satellites_num,roll,yaw,pitch,motor_status,imu_status,gps_status,cgps_used,press_compass_status,f_mode,gps_pos_used,vehicle_type,error_flags1,gps_accH
20141101 21:29:21:316,-52,12.5,0,0.58,37.0152,-76.29926,0.041231055,FALSE,3,17,-0.9,112.92001,-0.01,15,97,1,1,21,16,FALSE,2,0,1.95
20141101 21:29:21:340,-51,12.5,0,0.08,37.0152,-76.29926,0.041231055,FALSE,3,17,-0.9,110.630005,-0.02,15,97,1,1,21,16,FALSE,2,0,1.95
20141101 21:29:21:367,-54,12.5,0,0.75,37.0152,-76.29926,0.041231055,FALSE,3,17,-0.9,108.42001,-0.02,15,97,1,1,21,16,FALSE,2,0,1.95
20141101 21:29:21:403,-51,12.5,0,0.67,37.0152,-76.29926,0.041231055,FALSE,3,17,-0.9,106.29999,-0.02,15,97,1,1,21,16,FALSE,2,0,1.95
20141101 21:29:21:444,-51,12.5,0,0.5,37.0152,-76.29926,0.041231055,FALSE,3,17,-0.9,104.28,-0.02,15,97,1,1,21,16,FALSE,2,0,1.8
20141101 21:29:21:485,-62,12.5,0,0.5,37.0152,-76.29926,0.044721358,FALSE,3,17,-0.89,102.34,-0.02,15,97,1,1,21,16,FALSE,2,0,1.8
20141101 21:29:21:525,-60,12.5,0,0.5,37.0152,-76.29926,0.044721358,FALSE,3,17,-0.89,100.47,-0.02,15,97,1,1,21,16,FALSE,2,0,1.8
20141101 21:29:21:575,-57,12.5,0,0.5,37.0152,-76.29926,0.044721358,FALSE,3,17,-0.89,98.67999,-0.03,15,97,1,1,21,16,FALSE,2,0,1.8
20141101 21:29:21:606,-57,12.5,0,0.5,37.0152,-76.29926,0.044721358,FALSE,3,17,-0.89,96.95999,-0.03,15,97,1,1,21,16,FALSE,2,0,1.8
20141101 21:29:21:647,-61,12.5,0,0.49,37.0152,-76.29926,0.022360679,FALSE,3,17,-0.89,95.29999,-0.03,15,97,1,1,21,16,FALSE,2,0,1.7
20141101 21:29:21:711,-65,12.5,0,0.49,37.015198,-76.29926,0.022360679,FALSE,3,17,-0.89,94.5,-0.03,15,97,1,1,21,16,FALSE,2,0,1.7
20141101 21:29:21:739,-63,12.5,0,0.48,37.015198,-76.29926,0.022360679,FALSE,3,17,-0.88,92.94,-0.03,15,97,1,1,21,16,FALSE,2,0,1.7
20141101 21:29:21:767,-64,12.5,0,0.49,37.015198,-76.29926,0.022360679,FALSE,3,17,-0.88,91.44,-0.03,15,97,1,1,21,16,FALSE,2,0,1.7
20141101 21:29:21:809,-73,12.5,0,0.48,37.015198,-76.29926,0.022360679,FALSE,3,17,-0.88,90,-0.03,15,97,1,1,21,16,FALSE,2,0,1.7
20141101 21:29:21:887,-78,12.5,0,0.48,37.015198,-76.29926,0.01,FALSE,3,17,-0.88,87.3,-0.03,15,97,1,1,21,16,FALSE,2,0,1.6
20141101 21:29:21:929,-73,12.5,0,0.48,37.015198,-76.29926,0.01,FALSE,3,17,-0.88,86.03,-0.02,15,97,1,1,21,16,FALSE,2,0,1.6
20141101 21:29:21:968,-72,12.5,0,0.48,37.015198,-76.29926,0.01,FALSE,3,17,-0.88,84.81,-0.02,15,97,1,1,21,16,FALSE,2,0,1.6
20141101 21:29:22:007,-70,12.5,0,0.48,37.015198,-76.29926,0.01,FALSE,3,17,-0.88,83.63,-0.02,15,97,1,1,21,16,FALSE,2,0,1.6
20141101 21:29:22:048,-75,12.5,0,0.48,37.015198,-76.29926,0.01,FALSE,3,17,-0.88,82.5,-0.02,15,97,1,1,21,16,FALSE,2,0,1.5
20141101 21:29:22:089,-68,12.5,0,0.47,37.015198,-76.29926,0.01,FALSE,3,17,-0.87,81.94,-0.02,15,97,1,1,21,16,FALSE,2,0,1.5
20141101 21:29:22:130,-75,12.5,0,0.49,37.015198,-76.29926,0.01,FALSE,3,17,-0.87,80.89,-0.02,15,97,1,1,21,16,FALSE,2,0,1.5
20141101 21:29:22:168,-67,12.5,0,0.49,37.015198,-76.29926,0.01,FALSE,3,17,-0.87,79.87,-0.02,15,97,1,1,21,16,FALSE,2,0,1.5
20141101 21:29:22:211,-64,12.5,0,0.5,37.015198,-76.29926,0.01,FALSE,3,17,-0.87,78.89,-0.02,15,97,1,1,21,16,FALSE,2,0,1.5
20141101 21:29:22:250,-68,12.5,0,0.51,37.015198,-76.29926,2.56,FALSE,3,17,-0.87,77.95,-0.02,15,97,1,1,21,16,FALSE,2,0,1.45
20141101 21:29:22:291,-76,12.5,0,0.52,37.015198,-76.29926,0.01,FALSE,3,17,-0.87,77.06,-0.02,15,97,1,1,21,16,FALSE,2,0,1.45
20141101 21:29:22:332,-72,12.5,0,0.53,37.015198,-76.29926,0.01,FALSE,3,17,-0.87,76.19,-0.02,15,97,1,1,21,16,FALSE,2,0,1.45
20141101 21:29:22:634,-70,12.5,0,0.57,37.015194,-76.29926,0.072111025,FALSE,3,17,-0.87,71.020004,-0.02,15,97,1,1,21,16,FALSE,2,0,1.4
20141101 21:29:22:731,-72,12.5,0,0.57,37.015194,-76.29926,0.014142135,FALSE,3,17,-0.87,69.51,-0.02,15,97,1,1,21,16,FALSE,2,0,1.3
20141101 21:29:22:771,-78,12.5,0,0.57,37.015194,-76.29926,0.014142135,FALSE,3,17,-0.87,68.94,-0.02,15,97,1,1,21,16,FALSE,2,0,1.3
